 TITLE                             | AUTHOR             | YEAR    | CATEGORY     |
CLASSICAL MECHANICS                |TAYLOR, JOHN A.     |2005     |SCIENCE       |
CALSSICAL ELECTRODYNAMICS          |JACKSON, JOHN D.    |1962     |SCIENCE       |
THERMAL PHYSICS                    |DESLOGE, EDWARD A.  |1968     |SCIENCE       |
THERMAL PHYSICS                    |SCHROEDER, DANIEL V.|2000     |SCIENCE       |
ELEMENTARY QUANTUM MECHANICS       |FONG, PETER         |1962     |SCIENCE       |
FORTRAN IV PROGRAMMING AND COMPUTIN|GOLDEN, JAMES T.    |1965     |SCIENCE       |
QUANTUM MECHANICS                  |MCINTYRE, DAVID H.  |2023     |SCIENCE       |
VIBRATION AND SOUND                |MORSE, PHILIP M.    |1948     |SCIENCE       |
QUANTUM MECHANICS CONCEPTS AND APPL|ZETTILI, NOUREDINE  |2009     |SCIENCE       |
THE BODY KEEPS THE SCORE           |DER KOLK, BESSEL VAN|2014     |SELF HELP     |
HOW TO BE A NORMAL PERSON          |KLUNE, TJ           |2019     |SELF HELP     |
ADULT CHILDREN OF EMOTIONALLY IMMAT|GIBSON, LINDSAY C.  |2015     |SELF HELP     |
THE FOUR AGREEMENTS                |RUIZ, DON MIGUEL    |1997     |SELF HELP     |
